station_id, latitude, longitude, country
86164,-28.8,114.7,Australia
86165,-28.05,148.58333,Australia
86166,-28.0,143.81667,Australia
86167,-27.63333,152.71667,Australia
86168,-27.56667,135.45,Australia
86169,-27.38333,153.13333,Australia
86170,-26.66667,150.18333,Australia
86171,-26.61667,118.53333,Australia
86172,-26.41667,146.26667,Australia
86173,-26.38333,153.03333,Australia
86174,-25.9,139.35,Australia
86175,-25.03333,128.3,Australia
86176,-24.88333,113.66667,Australia
86177,-23.86667,151.26667,Australia
86178,-23.8,133.88333,Australia
86179,-23.43333,144.28333,Australia
86180,-23.41667,119.8,Australia
86181,-23.38333,150.48333,Australia
86182,-22.38333,143.03333,Australia
86183,-22.23333,114.1,Australia
86184,-22.23333,118.33333,Australia
86185,-21.11667,149.21667,Australia
86186,-20.73333,143.13333,Australia
86187,-20.68333,139.48333,Australia
86188,-20.36667,118.63333,Australia
86189,-20.18333,130.01667,Australia
86190,-19.63333,134.18333,Australia
86191,-19.25,146.76667,Australia
86192,-18.28333,143.55,Australia
86193,-18.23333,127.66667,Australia
86194,-17.95,122.23333,Australia
86195,-17.73333,139.55,Australia
86196,-16.86667,145.75,Australia
86197,-16.28333,149.96667,Australia
86198,-14.51667,132.38333,Australia
86199,-14.3,126.63333,Australia
86200,-12.68333,141.91667,Australia
86201,-12.41667,130.88333,Australia
86202,-12.26667,136.81667,Australia
86203,-12.18333,96.83333,Australia
86204,-10.45,105.68333,Australia
86205,46.65,14.31667,Austria
86206,46.98333,15.45,Austria
86207,47.05,12.95,Austria
86208,47.26667,11.35,Austria
86209,47.8,13.0,Austria
86210,48.18333,15.61667,Austria
86211,48.25,16.35,Austria
86212,38.45,48.88333,Azerbaijan
86213,40.53333,50.0,Azerbaijan
86214,26.26667,50.65,Bahrain
86215,20.86667,92.3,Bangladesh
86216,21.43333,91.96667,Bangladesh
86217,21.81667,91.85,Bangladesh
86218,21.98333,90.23333,Bangladesh
86219,22.26667,91.81667,Bangladesh
86220,22.33333,90.33333,Bangladesh
86221,22.63333,92.15,Bangladesh
86222,22.68333,90.65,Bangladesh
86223,22.71667,90.36667,Bangladesh
86224,22.73333,89.08333,Bangladesh
86225,22.78333,89.53333,Bangladesh
86226,23.16667,90.18333,Bangladesh
86227,23.21667,89.21667,Bangladesh
86228,23.23333,90.7,Bangladesh
86229,23.43333,91.18333,Bangladesh
86230,23.6,89.85,Bangladesh
86231,23.65,88.81667,Bangladesh
86232,23.76667,90.38333,Bangladesh
86233,24.13333,89.05,Bangladesh
86234,24.25,89.93333,Bangladesh
86235,24.3,91.73333,Bangladesh
86236,24.36667,88.7,Bangladesh
86237,24.73333,90.4,Bangladesh
86238,24.85,89.36667,Bangladesh
86239,24.9,91.88333,Bangladesh
86240,25.65,88.68333,Bangladesh
86241,25.73333,89.23333,Bangladesh
86242,13.06667,-59.5,Barbados
86243,52.11667,23.68333,Belarus
86244,52.25,29.83333,Belarus
86245,53.93333,27.63333,Belarus
86246,50.23333,4.65,Belgium and Luxemborg
86247,50.8,4.35,Belgium and Luxemborg
86248,50.88333,4.51667,Belgium and Luxemborg
86249,51.16667,5.46667,Belgium and Luxemborg
86250,51.18333,2.86667,Belgium and Luxemborg
86251,6.35,2.38333,Benin
86252,7.16667,2.06667,Benin
86253,8.03333,2.46667,Benin
86254,9.35,2.61667,Benin
86255,10.31667,1.38333,Benin
86256,11.13333,2.93333,Benin
86257,43.35,17.8,Bosnia and Herzegovina
86258,43.86667,18.43333,Bosnia and Herzegovina
86259,-30.05,-51.16667,Brazil
86260,-23.5,-46.61667,Brazil
86261,-22.88333,-43.18333,Brazil
86262,-22.11667,-51.38333,Brazil
86263,-21.76667,-43.35,Brazil
86264,-21.73333,-41.31667,Brazil
86265,-20.75,-42.85,Brazil
86266,-20.43333,-54.71667,Brazil
86267,-20.3,-40.31667,Brazil
86268,-19.73333,-47.95,Brazil
86269,-19.46667,-44.25,Brazil
86270,-19.4,-40.06667,Brazil
86271,-19.01667,-57.65,Brazil
86272,-18.25,-43.6,Brazil
86273,-16.66667,-49.25,Brazil
86274,-16.05,-57.68333,Brazil
86275,-15.91667,-50.13333,Brazil
86276,-15.78333,-47.93333,Brazil
86277,-15.55,-56.11667,Brazil
86278,-12.01667,-48.53333,Brazil
86279,-8.76667,-63.91667,Brazil
86280,-8.05,-34.95,Brazil
86281,-5.35,-49.15,Brazil
86282,-5.08333,-42.81667,Brazil
86283,-3.11667,-59.95,Brazil
86284,42.06667,24.85,Bulgaria
86285,42.48333,27.48333,Bulgaria
86286,42.65,23.38333,Bulgaria
86287,43.2,23.53333,Bulgaria
86288,43.41667,24.63333,Bulgaria
86289,43.51667,26.51667,Bulgaria
86290,9.96667,98.58333,Burma / Myanmar
86291,14.1,98.21667,Burma / Myanmar
86292,16.76667,94.76667,Burma / Myanmar
86293,20.13333,92.88333,Burma / Myanmar
86294,21.98333,96.1,Burma / Myanmar
86295,25.36667,97.4,Burma / Myanmar
86296,43.03333,-81.15,Canada
86297,43.66667,-79.6,Canada
86298,43.66667,-79.4,Canada
86299,43.93333,-60.0,Canada
86300,44.63333,-63.5,Canada
86301,45.46667,-73.75,Canada
86302,45.86667,-66.53333,Canada
86303,45.88333,-82.56667,Canada
86304,46.16667,-60.05,Canada
86305,46.28333,-63.11667,Canada
86306,46.35,-79.41667,Canada
86307,46.36667,-75.95,Canada
86308,46.48333,-84.5,Canada
86309,46.76667,-56.15,Canada
86310,46.8,-71.38333,Canada
86311,47.01667,-65.46667,Canada
86312,47.41667,-61.78333,Canada
86313,47.61667,-52.73333,Canada
86314,48.33333,-71.0,Canada
86315,48.36667,-89.31667,Canada
86316,48.53333,-58.55,Canada
86317,48.63333,-123.41667,Canada
86318,48.93333,-54.56667,Canada
86319,49.18333,-123.18333,Canada
86320,49.21667,-102.96667,Canada
86321,49.41667,-82.46667,Canada
86322,49.63333,-112.8,Canada
86323,49.91667,-97.23333,Canada
86324,50.11667,-91.9,Canada
86325,50.18333,-61.81667,Canada
86326,50.21667,-66.26667,Canada
86327,50.26667,-107.73333,Canada
86328,50.43333,-104.66667,Canada
86329,50.66667,-127.36667,Canada
86330,50.7,-120.45,Canada
86331,51.11667,-114.01667,Canada
86332,51.26667,-80.65,Canada
86333,53.01667,-122.5,Canada
86334,53.21667,-105.66667,Canada
86335,53.31667,-113.58333,Canada
86336,53.31667,-60.41667,Canada
86337,53.56667,-113.51667,Canada
86338,53.7,-57.03333,Canada
86339,53.75,-73.66667,Canada
86340,53.88333,-122.66667,Canada
86341,53.96667,-101.1,Canada
86342,54.25,-133.05,Canada
86343,54.28333,-130.43333,Canada
86344,54.41667,-110.28333,Canada
86345,54.8,-66.81667,Canada
86346,55.15,-105.26667,Canada
86347,55.28333,-77.75,Canada
86348,55.8,-97.86667,Canada
86349,56.65,-111.21667,Canada
86350,56.86667,-101.08333,Canada
86351,58.1,-68.41667,Canada
86352,58.46667,-78.08333,Canada
86353,58.61667,-117.16667,Canada
86354,58.73333,-94.05,Canada
86355,58.83333,-122.58333,Canada
86356,60.01667,-111.96667,Canada
86357,60.11667,-128.81667,Canada
86358,60.7,-135.06667,Canada
86359,60.83333,-115.76667,Canada
86360,61.76667,-121.23333,Canada
86361,62.46667,-114.43333,Canada
86362,63.61667,-135.86667,Canada
86363,63.75,-68.55,Canada
86364,64.2,-83.36667,Canada
86365,64.3,-96.06667,Canada
86366,65.28333,-126.8,Canada
86367,66.15,-65.71667,Canada
86368,67.81667,-115.13333,Canada
86369,68.3,-133.48333,Canada
86370,68.76667,-81.23333,Canada
86371,69.1,-105.13333,Canada
86372,70.48333,-68.51667,Canada
86373,74.71667,-94.98333,Canada
86374,76.23333,-119.33333,Canada
86375,79.98333,-85.93333,Canada
86376,82.51667,-62.28333,Canada
86377,14.91667,-23.5,Cape Verde
86378,16.73333,-22.95,Cape Verde
86379,-53.0,-70.85,Chile
86380,-45.9,-71.71667,Chile
86381,-45.58333,-72.11667,Chile
86382,-41.43333,-73.11667,Chile
86383,-40.6,-73.06667,Chile
86384,-39.63333,-73.08333,Chile
86385,-38.75,-72.63333,Chile
86386,-36.76667,-73.05,Chile
86387,-36.56667,-72.03333,Chile
86388,-34.96667,-71.23333,Chile
86389,-33.66667,-78.98333,Chile
86390,-33.43333,-70.68333,Chile
86391,-33.38333,-70.75,Chile
86392,-29.9,-71.33333,Chile
86393,-23.43333,-70.43333,Chile
86394,-20.53333,-70.18333,Chile
86395,-18.33333,-70.33333,Chile
86396,22.16667,113.56667,China
86397,22.63333,108.21667,China
86398,23.13333,113.33333,China
86399,23.4,116.68333,China
86400,25.01667,98.5,China
86401,25.01667,102.68333,China
86402,25.85,114.95,China
86403,27.45,109.68333,China
86404,27.9,102.26667,China
86405,28.6,115.91667,China
86406,29.66667,91.13333,China
86407,30.66667,104.01667,China
86408,30.7,111.3,China
86409,31.15,97.16667,China
86410,34.3,108.93333,China
86411,34.71667,113.65,China
86412,36.05,103.88333,China
86413,36.06667,120.33333,China
86414,37.13333,79.93333,China
86415,37.78333,112.55,China
86416,38.48333,106.21667,China
86417,39.03333,88.16667,China
86418,39.46667,75.98333,China
86419,39.76667,98.48333,China
86420,39.8,116.46667,China
86421,41.73333,123.78333,China
86422,42.81667,93.51667,China
86423,42.88333,129.46667,China
86424,43.65,111.96667,China
86425,43.95,81.33333,China
86426,47.38333,123.91667,China
86427,47.73333,88.08333,China
86428,49.21667,119.75,China
86429,-4.15,-69.95,Colombia
86430,0.85,-77.68333,Colombia
86431,1.4,-77.28333,Colombia
86432,2.96667,-75.3,Colombia
86433,3.55,-76.38333,Colombia
86434,4.16667,-73.61667,Colombia
86435,4.55,-70.91667,Colombia
86436,4.71667,-74.15,Colombia
86437,6.21667,-75.58333,Colombia
86438,7.01667,-73.8,Colombia
86439,7.58333,-72.6,Colombia
86440,7.93333,-72.51667,Colombia
86441,10.45,-75.51667,Colombia
86442,10.88333,-74.78333,Colombia
86443,12.58333,-81.71667,Colombia
86444,-12.8,45.28333,Comoros
86445,-4.81667,11.9,Congo
86446,-4.25,15.25,Congo
86447,-4.2,12.7,Congo
86448,-4.0,13.95,Congo
86449,-3.48333,12.61667,Congo
86450,-2.61667,16.21667,Congo
86451,-2.53333,14.76667,Congo
86452,-1.9,15.85,Congo
86453,-0.01667,15.58333,Congo
86454,1.61667,16.06667,Congo
86455,1.61667,18.06667,Congo
86456,2.06667,14.05,Congo
86457,9.95,-83.01667,Costa Rica
86458,10.0,-84.2,Costa Rica
86459,10.6,-85.53333,Costa Rica
86460,4.41667,-7.36667,Cote D'Ivoire
86461,4.75,-6.65,Cote D'Ivoire
86462,4.95,-6.08333,Cote D'Ivoire
86463,5.25,-3.93333,Cote D'Ivoire
86464,5.3,-3.3,Cote D'Ivoire
86465,6.13333,-5.95,Cote D'Ivoire
86466,6.65,-4.7,Cote D'Ivoire
86467,6.86667,-6.46667,Cote D'Ivoire
86468,6.9,-5.35,Cote D'Ivoire
86469,7.4,-7.51667,Cote D'Ivoire
86470,7.73333,-5.06667,Cote D'Ivoire
86471,8.05,-2.78333,Cote D'Ivoire
