station_ID,num of measurements 1961-2000,lat,lon
86185,120,-21.11667,149.21667
86186,120,-20.73333,143.13333
86187,120,-20.68333,139.48333
86188,120,-20.36667,118.63333
86189,50,-20.18333,130.01667
86190,120,-19.63333,134.18333
86191,120,-19.25,146.76667
86192,119,-18.28333,143.55
86193,120,-18.23333,127.66667
86194,120,-17.95,122.23333
86195,120,-17.73333,139.55
86196,120,-16.86667,145.75
86197,120,-16.28333,149.96667
86198,64,-14.51667,132.38333
86199,111,-14.3,126.63333
86200,97,-12.68333,141.91667
86201,120,-12.41667,130.88333
86202,120,-12.26667,136.81667
86203,120,-12.18333,96.83333
86204,119,-10.45,105.68333
86205,120,46.65,14.31667
86206,120,46.98333,15.45
86207,120,47.05,12.95
86208,120,47.26667,11.35
86209,120,47.8,13.0
86210,120,48.18333,15.61667
86211,120,48.25,16.35
86212,120,38.45,48.88333
86213,120,40.53333,50.0
86214,120,26.26667,50.65
86215,120,20.86667,92.3
86216,120,21.43333,91.96667
86217,120,21.81667,91.85
86218,120,21.98333,90.23333
86219,119,22.26667,91.81667
86220,120,22.33333,90.33333
86221,120,22.63333,92.15
86222,120,22.68333,90.65
86223,120,22.71667,90.36667
86224,120,22.73333,89.08333
86225,120,22.78333,89.53333
86226,120,23.16667,90.18333
86227,120,23.21667,89.21667
86228,120,23.23333,90.7
86229,120,23.43333,91.18333
86230,120,23.6,89.85
86231,120,23.65,88.81667
86232,120,23.76667,90.38333
86233,120,24.13333,89.05
86234,120,24.25,89.93333
86235,120,24.3,91.73333
86236,120,24.36667,88.7
86237,120,24.73333,90.4
86238,108,24.85,89.36667
86239,120,24.9,91.88333
86240,120,25.65,88.68333
86241,120,25.73333,89.23333
86242,120,13.06667,-59.5
86243,120,52.11667,23.68333
86244,120,52.25,29.83333
86245,120,53.93333,27.63333
86246,120,50.23333,4.65
86247,120,50.8,4.35
86248,120,50.88333,4.51667
86249,120,51.16667,5.46667
86250,120,51.18333,2.86667
86251,120,6.35,2.38333
86252,120,7.16667,2.06667
86253,120,8.03333,2.46667
86254,120,9.35,2.61667
86255,120,10.31667,1.38333
86256,120,11.13333,2.93333
86257,120,43.35,17.8
86258,120,43.86667,18.43333
86259,120,-30.05,-51.16667
86260,119,-23.5,-46.61667
86261,6,-22.88333,-43.18333
86262,119,-22.11667,-51.38333
86263,108,-21.76667,-43.35
86264,98,-21.73333,-41.31667
86265,111,-20.75,-42.85
86266,97,-20.43333,-54.71667
86267,103,-20.3,-40.31667
86268,120,-19.73333,-47.95
86269,96,-19.46667,-44.25
86270,113,-19.4,-40.06667
86271,93,-19.01667,-57.65
86272,117,-18.25,-43.6
86273,114,-16.66667,-49.25
86274,48,-16.05,-57.68333
86275,67,-15.91667,-50.13333
86276,120,-15.78333,-47.93333
86277,46,-15.55,-56.11667
86278,115,-12.01667,-48.53333
86279,39,-8.76667,-63.91667
86280,82,-8.05,-34.95
86281,116,-5.35,-49.15
86282,41,-5.08333,-42.81667
86283,119,-3.11667,-59.95
86284,120,42.06667,24.85
86285,120,42.48333,27.48333
86286,120,42.65,23.38333
86287,120,43.2,23.53333
86288,120,43.41667,24.63333
86289,120,43.51667,26.51667
86290,119,9.96667,98.58333
86291,120,14.1,98.21667
86292,120,16.76667,94.76667
86293,120,20.13333,92.88333
86294,120,21.98333,96.1
86295,120,25.36667,97.4
86296,120,43.03333,-81.15
86297,120,43.66667,-79.6
86298,120,43.66667,-79.4
86299,63,43.93333,-60.0
86300,120,44.63333,-63.5
86301,51,45.46667,-73.75
86302,120,45.86667,-66.53333
86303,37,45.88333,-82.56667
86304,120,46.16667,-60.05
86305,120,46.28333,-63.11667
86306,120,46.35,-79.41667
86307,29,46.36667,-75.95
86308,120,46.48333,-84.5
86309,120,46.76667,-56.15
86310,56,46.8,-71.38333
86311,118,47.01667,-65.46667
86312,117,47.41667,-61.78333
86313,120,47.61667,-52.73333
86314,120,48.33333,-71.0
