station_ID,year,average temperature
12602,1991,19.216666666666665
12602,1992,19.76666666666667
12602,1993,19.63333333333333
12602,1994,19.341666666666672
12602,1995,19.283333333333335
12602,1996,18.95
12602,1997,19.783333333333335
12602,1998,20.066666666666666
12602,1999,18.766666666666666
12602,2000,19.208333333333332
12605,1991,24.049999999999997
12605,1992,25.05
12605,1993,24.425
12605,1994,24.28333333333333
12605,1995,23.64166666666667
12605,1996,23.308333333333337
12605,1997,24.391666666666662
12605,1998,24.258333333333336
12605,1999,23.016666666666666
12605,2000,23.275000000000002
12611,1991,14.475
12611,1992,14.916666666666664
12611,1993,14.825000000000003
12611,1994,14.891666666666666
12611,1995,15.283333333333333
12611,1996,14.608333333333333
12611,1997,15.066666666666668
12611,1998,15.566666666666668
12611,1999,14.783333333333333
12611,2000,14.866666666666669
