station_id;station_name;latitude;longitude;elevation;lat_uncertainty;long_uncertainty;elev_uncertainty;country
15452;TARAKAN;-3.33333;117.56667;-999;0.00833;0.00833;-9.99999;Indonesia
15454;PULAU BAI;-3.31667;102.88333;-999;0.00833;0.00833;-9.99999;Indonesia
15455;STAGEN;-3.28333;116.21667;-999;0.00833;0.00833;-9.99999;Indonesia
15456;KAIRATU;-3.25;128.4;-999;0.00833;0.00833;-9.99999;Indonesia
15457;NAMLEA;-3.25;128.88333;-999;0.00833;0.00833;-9.99999;Indonesia
15459;TANJUNG TEBAT LAHAT;-3.08333;103.48333;-999;0.00833;0.00833;-9.99999;Indonesia
15460;TUGU MULYO;-3.01667;102.83333;-999;0.00833;0.00833;-9.99999;Indonesia
15461;KENTEN;-3;107.75;-999;0.00833;0.00833;-9.99999;Indonesia
15462;BUKIT BESAR-UNSRI;-2.96667;104.76667;-999;0.00833;0.00833;-9.99999;Indonesia
15463;RIAS TOBOALI;-2.95;106.45;-999;0.00833;0.00833;-9.99999;Indonesia
15464;FAK-FAK;-2.9;132.25;-999;0.00833;0.00833;-9.99999;Indonesia
15466;SEKAYU;-2.88333;103.85;-999;0.00833;0.00833;-9.99999;Indonesia
15467;STN.METEOROLOGI KLAS III;-2.88333;140.71667;-999;0.00833;0.00833;-9.99999;Indonesia
15470;DEPATI PARBO;-2.76667;101.36667;-999;0.00833;0.00833;-9.99999;Indonesia
15472;BULUH TUMBANG TANJUNG PA;-2.75;107.75;-999;0.00833;0.00833;-9.99999;Indonesia
15474;MASAMBA;-2.61667;120.28333;-999;0.00833;0.00833;-9.99999;Indonesia
15475;GENYEM;-2.6;140.16667;-999;0.00833;0.00833;-9.99999;Indonesia
15478;SENTANI;-2.5;140.48333;-999;0.00833;0.00833;-9.99999;Indonesia
15479;SEI PINANG-DEWI SRI;-2.45;104.85;-999;0.00833;0.00833;-9.99999;Indonesia
15481;PALANGKARAYA-PENARUNG;-2.25;113.91667;-999;0.00833;0.00833;-9.99999;Indonesia
15489;SEBAPO;-1.5;103.25;-999;0.00833;0.00833;-9.99999;Indonesia
15495;MUARA TEWEH;-0.93333;114.88333;-999;0.00833;0.00833;-9.99999;Indonesia
15500;STN.KLIMATOLOGI KLAS III;-0.88333;134.13333;-999;0.00833;0.00833;-9.99999;Indonesia
15501;TERNATE;-0.83333;127.41667;-999;0.00833;0.00833;-9.99999;Indonesia
15506;SICINCIN;-0.56667;100.26667;-999;0.00833;0.00833;-9.99999;Indonesia
15507;DABO-SINGKEP;-0.48333;104.58333;-999;0.00833;0.00833;-9.99999;Indonesia
15513;SUPADIO-PONTIANAK;-0.01667;109.38333;-999;0.00833;0.00833;-9.99999;Indonesia
15516;PADANGKEMILING BENGKULU;0.10833;102.45;-999;3.76667;0.125;-9.99999;Indonesia
15518;ANJUNGAN;0.4;109.4;-999;0.00833;0.00833;-9.99999;Indonesia
15519;SIMPANGTIGA-PEKANBARU;0.46667;101.43333;-999;0.00833;0.00833;-9.99999;Indonesia
15523;SIANTAN;0.6;109.18333;-999;0.00833;0.00833;-9.99999;Indonesia
15524;GORONTALO;0.65;122.83333;-999;0.00833;0.00833;-9.99999;Indonesia
15530;TOLI TOLI;1;120.8;-999;0.00833;0.00833;-9.99999;Indonesia
15539;KAYUWATU;1.55;124.91667;-999;0.00833;0.00833;-9.99999;Indonesia
15546;TANJUNG SELOR;2.83333;117.36667;-999;0.00833;0.00833;-9.99999;Indonesia
15548;MARIHAT ST;2.91667;99.08333;-999;0.00833;0.00833;-9.99999;Indonesia
15551;POLONIA-MEDAN;3.56667;98.68333;-999;0.00833;0.00833;-9.99999;Indonesia
15555;SAMPALI;3.61667;98.8;-999;0.00833;0.00833;-9.99999;Indonesia
15556;NAHA;3.71667;125.36667;-999;0.00833;0.00833;-9.99999;Indonesia
15566;MERAUKE;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15567;SARMI;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15568;MAROS;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15569;SRIMARDONO;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15570;NEGARA;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15571;TUGUREJO;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15572;PUNTEN (BATU MALANG);-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15573;ENAROTOLI;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15574;NYIUR GADING KEDIRI;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15575;DAWAM BPP;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15576;SPMA KUBUTAMBAHAN;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15578;KP.TLEKUNG;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15579;MOJOKERTO;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15580;LABUHA;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15581;LAB.PPHPTP MADIUN;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15582;TONDANO;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15583;CUKUR GONDANG;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15584;TRIMURJO;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15585;LITBANG II SMPK;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
15586;NANGAPINOH;-999;-999;-999;-9.99999;-9.99999;-9.99999;Indonesia
